n,density,seed,a_ones,b_ones,total_products,active_products,y_mean,y_max,digital_total_ops,digital_adder_depth,digital_output_bitwidth,digital_energy_pj_est,digital_latency_ns_est,neuro_membrane_fanin,neuro_energy_pj_est_measured_cal,neuro_energy_pj_est_spike_model,neuro_latency_ns_floor_est
2,0.030,20,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,21,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,22,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,23,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,24,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,25,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,26,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,27,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,28,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,29,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,30,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,31,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,32,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,33,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,34,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,35,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,36,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,37,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,38,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,39,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,40,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,41,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,42,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,43,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,44,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,45,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,46,0,2,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,47,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,48,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,49,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,50,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,51,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,52,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,53,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,54,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,55,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,56,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,57,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,58,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,59,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,60,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,1,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,2,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,3,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,4,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,5,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,6,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,7,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,8,1,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,9,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,10,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,11,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,12,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,13,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,14,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,15,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,16,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,17,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,18,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,19,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,20,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,21,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,22,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,23,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,24,0,2,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,25,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,26,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,27,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,28,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,29,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,30,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,31,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,32,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,33,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,34,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,35,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,36,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,37,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,38,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,39,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,40,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,41,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,42,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,43,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,44,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,45,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,46,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,47,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,48,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,49,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,50,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,51,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,52,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,53,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,54,1,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,55,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.040,56,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
